"Chart Data Export",
"Dimension 1","time"
"Dimension 2","queries"
"Aggregate","volume"
"Start Date","Wed Jan 01 05:00:00 UTC 2020"
"End Date","Thu Mar 30 05:00:00 UTC 2023"
"Project Id","1998268711"
"Query Id","[2001085587]"

"time","2020-01-01 05:00:00.0","2020-02-01 05:00:00.0","2020-03-01 05:00:00.0","2020-04-01 05:00:00.0","2020-05-01 05:00:00.0","2020-06-01 05:00:00.0","2020-07-01 05:00:00.0","2020-08-01 05:00:00.0","2020-09-01 05:00:00.0","2020-10-01 05:00:00.0","2020-11-01 05:00:00.0","2020-12-01 05:00:00.0","2021-01-01 05:00:00.0","2021-02-01 05:00:00.0","2021-03-01 05:00:00.0","2021-04-01 05:00:00.0","2021-05-01 05:00:00.0","2021-06-01 05:00:00.0","2021-07-01 05:00:00.0","2021-08-01 05:00:00.0","2021-09-01 05:00:00.0","2021-10-01 05:00:00.0","2021-11-01 05:00:00.0","2021-12-01 05:00:00.0","2022-01-01 05:00:00.0","2022-02-01 05:00:00.0","2022-03-01 05:00:00.0","2022-04-01 05:00:00.0","2022-05-01 05:00:00.0","2022-06-01 05:00:00.0","2022-07-01 05:00:00.0","2022-08-01 05:00:00.0","2022-09-01 05:00:00.0","2022-10-01 05:00:00.0","2022-11-01 05:00:00.0","2022-12-01 05:00:00.0","2023-01-01 05:00:00.0","2023-02-01 05:00:00.0","2023-03-01 05:00:00.0"
"[Q] Barómetro Migrante Colombia",55167,54406,92630,117560,54218,48841,58384,36483,43546,63814,45335,46136,36677,75670,78177,45586,57134,44538,46160,66106,41881,48161,34064,37294,38567,50076,52168,45892,61196,46495,33140,36801,49559,49846,39067,32552,39000,39545,43769
