"Chart Data Export",
"Dimension 1","time"
"Dimension 2","queries"
"Aggregate","volume"
"Start Date","Fri Jan 01 05:00:00 UTC 2021"
"End Date","Thu Mar 30 05:00:00 UTC 2023"
"Project Id","1998317449"
"Query Id","[2001085564]"

"time","2020-12-28 05:00:00.0","2021-01-04 05:00:00.0","2021-01-11 05:00:00.0","2021-01-18 05:00:00.0","2021-01-25 05:00:00.0","2021-02-01 05:00:00.0","2021-02-08 05:00:00.0","2021-02-15 05:00:00.0","2021-02-22 05:00:00.0","2021-03-01 05:00:00.0","2021-03-08 05:00:00.0","2021-03-15 05:00:00.0","2021-03-22 05:00:00.0","2021-03-29 05:00:00.0","2021-04-05 05:00:00.0","2021-04-12 05:00:00.0","2021-04-19 05:00:00.0","2021-04-26 05:00:00.0","2021-05-03 05:00:00.0","2021-05-10 05:00:00.0","2021-05-17 05:00:00.0","2021-05-24 05:00:00.0","2021-05-31 05:00:00.0","2021-06-07 05:00:00.0","2021-06-14 05:00:00.0","2021-06-21 05:00:00.0","2021-06-28 05:00:00.0","2021-07-05 05:00:00.0","2021-07-12 05:00:00.0","2021-07-19 05:00:00.0","2021-07-26 05:00:00.0","2021-08-02 05:00:00.0","2021-08-09 05:00:00.0","2021-08-16 05:00:00.0","2021-08-23 05:00:00.0","2021-08-30 05:00:00.0","2021-09-06 05:00:00.0","2021-09-13 05:00:00.0","2021-09-20 05:00:00.0","2021-09-27 05:00:00.0","2021-10-04 05:00:00.0","2021-10-11 05:00:00.0","2021-10-18 05:00:00.0","2021-10-25 05:00:00.0","2021-11-01 05:00:00.0","2021-11-08 05:00:00.0","2021-11-15 05:00:00.0","2021-11-22 05:00:00.0","2021-11-29 05:00:00.0","2021-12-06 05:00:00.0","2021-12-13 05:00:00.0","2021-12-20 05:00:00.0","2021-12-27 05:00:00.0","2022-01-03 05:00:00.0","2022-01-10 05:00:00.0","2022-01-17 05:00:00.0","2022-01-24 05:00:00.0","2022-01-31 05:00:00.0","2022-02-07 05:00:00.0","2022-02-14 05:00:00.0","2022-02-21 05:00:00.0","2022-02-28 05:00:00.0","2022-03-07 05:00:00.0","2022-03-14 05:00:00.0","2022-03-21 05:00:00.0","2022-03-28 05:00:00.0","2022-04-04 05:00:00.0","2022-04-11 05:00:00.0","2022-04-18 05:00:00.0","2022-04-25 05:00:00.0","2022-05-02 05:00:00.0","2022-05-09 05:00:00.0","2022-05-16 05:00:00.0","2022-05-23 05:00:00.0","2022-05-30 05:00:00.0","2022-06-06 05:00:00.0","2022-06-13 05:00:00.0","2022-06-20 05:00:00.0","2022-06-27 05:00:00.0","2022-07-04 05:00:00.0","2022-07-11 05:00:00.0","2022-07-18 05:00:00.0","2022-07-25 05:00:00.0","2022-08-01 05:00:00.0","2022-08-08 05:00:00.0","2022-08-15 05:00:00.0","2022-08-22 05:00:00.0","2022-08-29 05:00:00.0","2022-09-05 05:00:00.0","2022-09-12 05:00:00.0","2022-09-19 05:00:00.0","2022-09-26 05:00:00.0","2022-10-03 05:00:00.0","2022-10-10 05:00:00.0","2022-10-17 05:00:00.0","2022-10-24 05:00:00.0","2022-10-31 05:00:00.0","2022-11-07 05:00:00.0","2022-11-14 05:00:00.0","2022-11-21 05:00:00.0","2022-11-28 05:00:00.0","2022-12-05 05:00:00.0","2022-12-12 05:00:00.0","2022-12-19 05:00:00.0","2022-12-26 05:00:00.0","2023-01-02 05:00:00.0","2023-01-09 05:00:00.0","2023-01-16 05:00:00.0","2023-01-23 05:00:00.0","2023-01-30 05:00:00.0","2023-02-06 05:00:00.0","2023-02-13 05:00:00.0","2023-02-20 05:00:00.0","2023-02-27 05:00:00.0","2023-03-06 05:00:00.0","2023-03-13 05:00:00.0","2023-03-20 05:00:00.0","2023-03-27 05:00:00.0"
"[Q] Barómetro Migrante Ecuador",423,2373,2237,2815,3846,5335,2760,4403,2046,2647,2129,2474,2318,17496,4511,2644,6471,3619,2685,1485,1941,3287,3039,2364,4202,2379,1987,2133,2246,1210,2296,2686,1237,2406,2073,1703,1887,1415,1692,1686,2855,3304,3102,1767,1400,2187,1546,1336,1315,1737,1586,1322,2335,1336,2292,2324,1827,1649,1454,1339,1597,1202,1680,1262,2229,1198,813,2532,1775,1704,1828,1597,1768,2647,5030,2443,4465,7135,4244,1920,2222,1293,1367,1301,1809,1520,1556,2605,1876,8,187,1462,1994,6691,3645,4456,2647,2062,2460,1106,1419,1540,2564,1474,1776,1394,2791,2255,3229,2432,3767,5699,4131,2019,5982,4198,3705,1648
