"Chart Data Export",
"Dimension 1","time"
"Dimension 2","queries"
"Aggregate","volume"
"Start Date","Fri Jan 01 03:00:00 UTC 2021"
"End Date","Thu Mar 30 03:00:00 UTC 2023"
"Project Id","1998309817"
"Query Id","[2001085571]"

"time","2020-12-28 03:00:00.0","2021-01-04 03:00:00.0","2021-01-11 03:00:00.0","2021-01-18 03:00:00.0","2021-01-25 03:00:00.0","2021-02-01 03:00:00.0","2021-02-08 03:00:00.0","2021-02-15 03:00:00.0","2021-02-22 03:00:00.0","2021-03-01 03:00:00.0","2021-03-08 03:00:00.0","2021-03-15 03:00:00.0","2021-03-22 03:00:00.0","2021-03-29 03:00:00.0","2021-04-05 04:00:00.0","2021-04-12 04:00:00.0","2021-04-19 04:00:00.0","2021-04-26 04:00:00.0","2021-05-03 04:00:00.0","2021-05-10 04:00:00.0","2021-05-17 04:00:00.0","2021-05-24 04:00:00.0","2021-05-31 04:00:00.0","2021-06-07 04:00:00.0","2021-06-14 04:00:00.0","2021-06-21 04:00:00.0","2021-06-28 04:00:00.0","2021-07-05 04:00:00.0","2021-07-12 04:00:00.0","2021-07-19 04:00:00.0","2021-07-26 04:00:00.0","2021-08-02 04:00:00.0","2021-08-09 04:00:00.0","2021-08-16 04:00:00.0","2021-08-23 04:00:00.0","2021-08-30 04:00:00.0","2021-09-06 03:00:00.0","2021-09-13 03:00:00.0","2021-09-20 03:00:00.0","2021-09-27 03:00:00.0","2021-10-04 03:00:00.0","2021-10-11 03:00:00.0","2021-10-18 03:00:00.0","2021-10-25 03:00:00.0","2021-11-01 03:00:00.0","2021-11-08 03:00:00.0","2021-11-15 03:00:00.0","2021-11-22 03:00:00.0","2021-11-29 03:00:00.0","2021-12-06 03:00:00.0","2021-12-13 03:00:00.0","2021-12-20 03:00:00.0","2021-12-27 03:00:00.0","2022-01-03 03:00:00.0","2022-01-10 03:00:00.0","2022-01-17 03:00:00.0","2022-01-24 03:00:00.0","2022-01-31 03:00:00.0","2022-02-07 03:00:00.0","2022-02-14 03:00:00.0","2022-02-21 03:00:00.0","2022-02-28 03:00:00.0","2022-03-07 03:00:00.0","2022-03-14 03:00:00.0","2022-03-21 03:00:00.0","2022-03-28 03:00:00.0","2022-04-04 04:00:00.0","2022-04-11 04:00:00.0","2022-04-18 04:00:00.0","2022-04-25 04:00:00.0","2022-05-02 04:00:00.0","2022-05-09 04:00:00.0","2022-05-16 04:00:00.0","2022-05-23 04:00:00.0","2022-05-30 04:00:00.0","2022-06-06 04:00:00.0","2022-06-13 04:00:00.0","2022-06-20 04:00:00.0","2022-06-27 04:00:00.0","2022-07-04 04:00:00.0","2022-07-11 04:00:00.0","2022-07-18 04:00:00.0","2022-07-25 04:00:00.0","2022-08-01 04:00:00.0","2022-08-08 04:00:00.0","2022-08-15 04:00:00.0","2022-08-22 04:00:00.0","2022-08-29 04:00:00.0","2022-09-05 03:00:00.0","2022-09-12 03:00:00.0","2022-09-19 03:00:00.0","2022-09-26 03:00:00.0","2022-10-03 03:00:00.0","2022-10-10 03:00:00.0","2022-10-17 03:00:00.0","2022-10-24 03:00:00.0","2022-10-31 03:00:00.0","2022-11-07 03:00:00.0","2022-11-14 03:00:00.0","2022-11-21 03:00:00.0","2022-11-28 03:00:00.0","2022-12-05 03:00:00.0","2022-12-12 03:00:00.0","2022-12-19 03:00:00.0","2022-12-26 03:00:00.0","2023-01-02 03:00:00.0","2023-01-09 03:00:00.0","2023-01-16 03:00:00.0","2023-01-23 03:00:00.0","2023-01-30 03:00:00.0","2023-02-06 03:00:00.0","2023-02-13 03:00:00.0","2023-02-20 03:00:00.0","2023-02-27 03:00:00.0","2023-03-06 03:00:00.0","2023-03-13 03:00:00.0","2023-03-20 03:00:00.0","2023-03-27 03:00:00.0"
"[Q]Barómetro Migrante Perú",855,2689,4081,7200,7205,5353,10216,13243,6000,3255,8733,3119,3830,4726,5915,8027,6641,7074,6541,4859,6652,12987,9327,9782,5498,3033,2786,3399,4568,3078,5097,3575,3851,4119,3811,4975,3877,3161,4819,5203,3014,3194,3027,2304,2801,2654,3269,3037,5151,2735,2861,6663,2877,2072,2180,3548,5706,3255,3745,3034,4733,2896,2156,3416,2538,1886,3850,3062,2602,2371,6233,5187,2702,2305,2085,1927,2358,2483,2474,2333,2847,2004,2673,2251,3264,2138,2014,2211,2431,2210,2531,3289,2566,4395,3073,2835,3512,2691,2334,2663,2708,3202,3238,2248,2176,2435,4231,4920,8481,4560,2975,2606,2297,3377,2700,3173,5021,1696
