Pais,Fecha,Mes,Año,Volumen Total,Xenofobia,Tasa Xenofobia
Colombia,2022-12-26 05:00:00,12,2022,759,210,"0,2766798419"
Colombia,2023-01-02 05:00:00,1,2023,6865,1460,"0,2126729789"
Colombia,2023-01-09 05:00:00,1,2023,9636,1573,"0,1632420091"
Colombia,2023-01-16 05:00:00,1,2023,6484,1238,"0,1909315238"
Colombia,2023-01-23 05:00:00,1,2023,8995,701,"0,07793218455"
Colombia,2023-01-30 05:00:00,1,2023,7250,1002,"0,1382068966"
Colombia,2023-02-06 05:00:00,2,2023,7676,1018,"0,1326211569"
Colombia,2023-02-13 05:00:00,2,2023,9964,1254,"0,1258530711"
Colombia,2023-02-20 05:00:00,2,2023,9104,979,"0,1075351494"
Colombia,2023-02-27 05:00:00,2,2023,8031,1165,"0,1450628813"
Colombia,2023-03-06 05:00:00,3,2023,7846,1474,"0,1878664288"
Colombia,2023-03-13 05:00:00,3,2023,8280,1811,"0,2187198068"
Colombia,2023-03-20 05:00:00,3,2023,9982,909,"0,09106391505"
Colombia,2023-03-27 05:00:00,3,2023,16897,2192,"0,1297271705"
Colombia,2023-04-03 05:00:00,4,2023,8358,881,"0,1054079923"
Colombia,2023-04-10 05:00:00,4,2023,7229,968,"0,1339051044"
Colombia,2023-04-17 05:00:00,4,2023,8312,776,"0,09335899904"
Colombia,2023-04-24 05:00:00,4,2023,12650,1155,"0,09130434783"
Colombia,2023-05-01 05:00:00,5,2023,7779,1030,"0,1324077645"
Colombia,2023-05-08 05:00:00,5,2023,7481,829,"0,1108140623"
Colombia,2023-05-15 05:00:00,5,2023,6220,675,"0,1085209003"
Colombia,2023-05-22 05:00:00,5,2023,5439,691,"0,1270454128"
Colombia,2023-05-29 05:00:00,5,2023,7622,924,"0,1212280241"
Colombia,2023-06-05 05:00:00,6,2023,8327,908,"0,1090428726"
Colombia,2023-06-12 05:00:00,6,2023,6181,711,"0,1150299304"
Colombia,2023-06-19 05:00:00,6,2023,9313,903,"0,09696123698"
Colombia,2023-06-26 05:00:00,6,2023,8362,2372,"0,2836641952"
Ecuador,2022-12-26 05:00:00,12,2022,124,62,"0,5"
Ecuador,2023-01-02 05:00:00,1,2023,1334,345,"0,2586206897"
