Pais;Variable;Fecha;Dato
Colombia;Mecanismo I;31/03/2023;212
Colombia;Mecanismo II;31/03/2023;79
Colombia;Mecanismo III;31/03/2023;176
Ecuador;Mecanismo I;31/03/2023;1
Ecuador;Mecanismo II;31/03/2023;5
Ecuador;Mecanismo III;31/03/2023;10
Peru;Mecanismo I;31/03/2023;14
Peru;Mecanismo II;31/03/2023;46
Peru;Mecanismo III;31/03/2023;163
Colombia;Mecanismo I;30/06/2023;72
Colombia;Mecanismo II;30/06/2023;108
Colombia;Mecanismo III;30/06/2023;124
Ecuador;Mecanismo I;30/06/2023;12
Ecuador;Mecanismo II;30/06/2023;18
Ecuador;Mecanismo III;30/06/2023;21
Peru;Mecanismo I;30/06/2023;164
Peru;Mecanismo II;30/06/2023;132
Peru;Mecanismo III;30/06/2023;339
