"Chart Data Export",
"Dimension 1","time"
"Dimension 2","categories"
"Aggregate","volume"
"Start Date","Wed Jan 01 05:00:00 UTC 2020"
"End Date","Thu Mar 30 05:00:00 UTC 2023"
"Project Id","1998268711"
"Query Id","[2001085587]"

"time","2020-01-01 05:00:00.0","2020-02-01 05:00:00.0","2020-03-01 05:00:00.0","2020-04-01 05:00:00.0","2020-05-01 05:00:00.0","2020-06-01 05:00:00.0","2020-07-01 05:00:00.0","2020-08-01 05:00:00.0","2020-09-01 05:00:00.0","2020-10-01 05:00:00.0","2020-11-01 05:00:00.0","2020-12-01 05:00:00.0","2021-01-01 05:00:00.0","2021-02-01 05:00:00.0","2021-03-01 05:00:00.0","2021-04-01 05:00:00.0","2021-05-01 05:00:00.0","2021-06-01 05:00:00.0","2021-07-01 05:00:00.0","2021-08-01 05:00:00.0","2021-09-01 05:00:00.0","2021-10-01 05:00:00.0","2021-11-01 05:00:00.0","2021-12-01 05:00:00.0","2022-01-01 05:00:00.0","2022-02-01 05:00:00.0","2022-03-01 05:00:00.0","2022-04-01 05:00:00.0","2022-05-01 05:00:00.0","2022-06-01 05:00:00.0","2022-07-01 05:00:00.0","2022-08-01 05:00:00.0","2022-09-01 05:00:00.0","2022-10-01 05:00:00.0","2022-11-01 05:00:00.0","2022-12-01 05:00:00.0","2023-01-01 05:00:00.0","2023-02-01 05:00:00.0","2023-03-01 05:00:00.0"
"Xenofobia",5679,7391,13455,10703,5399,5925,5296,3877,5184,8798,5005,5378,3782,6917,6898,5049,5674,6015,4355,6261,5219,4859,3625,3425,4885,4855,4399,4872,8900,4906,3635,3463,4880,5769,4704,5151,6028,4730,7213
