"Chart Data Export",
"Dimension 1","time"
"Dimension 2","categories"
"Aggregate","volume"
"Start Date","Fri Jan 01 05:00:00 UTC 2021"
"End Date","Thu Mar 30 05:00:00 UTC 2023"
"Project Id","1998317449"
"Query Id","[2001085564]"

"time","2020-12-28 05:00:00.0","2021-01-04 05:00:00.0","2021-01-11 05:00:00.0","2021-01-18 05:00:00.0","2021-01-25 05:00:00.0","2021-02-01 05:00:00.0","2021-02-08 05:00:00.0","2021-02-15 05:00:00.0","2021-02-22 05:00:00.0","2021-03-01 05:00:00.0","2021-03-08 05:00:00.0","2021-03-15 05:00:00.0","2021-03-22 05:00:00.0","2021-03-29 05:00:00.0","2021-04-05 05:00:00.0","2021-04-12 05:00:00.0","2021-04-19 05:00:00.0","2021-04-26 05:00:00.0","2021-05-03 05:00:00.0","2021-05-10 05:00:00.0","2021-05-17 05:00:00.0","2021-05-24 05:00:00.0","2021-05-31 05:00:00.0","2021-06-07 05:00:00.0","2021-06-14 05:00:00.0","2021-06-21 05:00:00.0","2021-06-28 05:00:00.0","2021-07-05 05:00:00.0","2021-07-12 05:00:00.0","2021-07-19 05:00:00.0","2021-07-26 05:00:00.0","2021-08-02 05:00:00.0","2021-08-09 05:00:00.0","2021-08-16 05:00:00.0","2021-08-23 05:00:00.0","2021-08-30 05:00:00.0","2021-09-06 05:00:00.0","2021-09-13 05:00:00.0","2021-09-20 05:00:00.0","2021-09-27 05:00:00.0","2021-10-04 05:00:00.0","2021-10-11 05:00:00.0","2021-10-18 05:00:00.0","2021-10-25 05:00:00.0","2021-11-01 05:00:00.0","2021-11-08 05:00:00.0","2021-11-15 05:00:00.0","2021-11-22 05:00:00.0","2021-11-29 05:00:00.0","2021-12-06 05:00:00.0","2021-12-13 05:00:00.0","2021-12-20 05:00:00.0","2021-12-27 05:00:00.0","2022-01-03 05:00:00.0","2022-01-10 05:00:00.0","2022-01-17 05:00:00.0","2022-01-24 05:00:00.0","2022-01-31 05:00:00.0","2022-02-07 05:00:00.0","2022-02-14 05:00:00.0","2022-02-21 05:00:00.0","2022-02-28 05:00:00.0","2022-03-07 05:00:00.0","2022-03-14 05:00:00.0","2022-03-21 05:00:00.0","2022-03-28 05:00:00.0","2022-04-04 05:00:00.0","2022-04-11 05:00:00.0","2022-04-18 05:00:00.0","2022-04-25 05:00:00.0","2022-05-02 05:00:00.0","2022-05-09 05:00:00.0","2022-05-16 05:00:00.0","2022-05-23 05:00:00.0","2022-05-30 05:00:00.0","2022-06-06 05:00:00.0","2022-06-13 05:00:00.0","2022-06-20 05:00:00.0","2022-06-27 05:00:00.0","2022-07-04 05:00:00.0","2022-07-11 05:00:00.0","2022-07-18 05:00:00.0","2022-07-25 05:00:00.0","2022-08-01 05:00:00.0","2022-08-08 05:00:00.0","2022-08-15 05:00:00.0","2022-08-22 05:00:00.0","2022-08-29 05:00:00.0","2022-09-05 05:00:00.0","2022-09-12 05:00:00.0","2022-09-19 05:00:00.0","2022-09-26 05:00:00.0","2022-10-03 05:00:00.0","2022-10-10 05:00:00.0","2022-10-17 05:00:00.0","2022-10-24 05:00:00.0","2022-10-31 05:00:00.0","2022-11-07 05:00:00.0","2022-11-14 05:00:00.0","2022-11-21 05:00:00.0","2022-11-28 05:00:00.0","2022-12-05 05:00:00.0","2022-12-12 05:00:00.0","2022-12-19 05:00:00.0","2022-12-26 05:00:00.0","2023-01-02 05:00:00.0","2023-01-09 05:00:00.0","2023-01-16 05:00:00.0","2023-01-23 05:00:00.0","2023-01-30 05:00:00.0","2023-02-06 05:00:00.0","2023-02-13 05:00:00.0","2023-02-20 05:00:00.0","2023-02-27 05:00:00.0","2023-03-06 05:00:00.0","2023-03-13 05:00:00.0","2023-03-20 05:00:00.0","2023-03-27 05:00:00.0"
"Xenofobia",38,138,392,249,233,334,198,124,184,141,96,468,199,3315,238,162,115,148,134,124,109,137,371,239,260,271,249,357,323,114,243,243,135,400,310,123,98,125,216,304,601,238,225,261,100,194,184,146,129,137,110,157,126,173,192,204,206,264,95,84,258,94,105,126,248,421,99,223,174,160,176,209,199,296,943,283,630,1287,551,173,336,79,86,85,153,170,155,103,274,3,31,184,200,1145,360,685,396,363,425,151,234,395,670,245,343,352,629,590,316,526,938,2945,778,550,948,1150,862,494
