"Chart Data Export",
"Dimension 1","time"
"Dimension 2","categories"
"Aggregate","volume"
"Start Date","Fri Jan 01 03:00:00 UTC 2021"
"End Date","Thu Mar 30 03:00:00 UTC 2023"
"Project Id","1998309817"
"Query Id","[2001085571]"

"time","2020-12-28 03:00:00.0","2021-01-04 03:00:00.0","2021-01-11 03:00:00.0","2021-01-18 03:00:00.0","2021-01-25 03:00:00.0","2021-02-01 03:00:00.0","2021-02-08 03:00:00.0","2021-02-15 03:00:00.0","2021-02-22 03:00:00.0","2021-03-01 03:00:00.0","2021-03-08 03:00:00.0","2021-03-15 03:00:00.0","2021-03-22 03:00:00.0","2021-03-29 03:00:00.0","2021-04-05 04:00:00.0","2021-04-12 04:00:00.0","2021-04-19 04:00:00.0","2021-04-26 04:00:00.0","2021-05-03 04:00:00.0","2021-05-10 04:00:00.0","2021-05-17 04:00:00.0","2021-05-24 04:00:00.0","2021-05-31 04:00:00.0","2021-06-07 04:00:00.0","2021-06-14 04:00:00.0","2021-06-21 04:00:00.0","2021-06-28 04:00:00.0","2021-07-05 04:00:00.0","2021-07-12 04:00:00.0","2021-07-19 04:00:00.0","2021-07-26 04:00:00.0","2021-08-02 04:00:00.0","2021-08-09 04:00:00.0","2021-08-16 04:00:00.0","2021-08-23 04:00:00.0","2021-08-30 04:00:00.0","2021-09-06 03:00:00.0","2021-09-13 03:00:00.0","2021-09-20 03:00:00.0","2021-09-27 03:00:00.0","2021-10-04 03:00:00.0","2021-10-11 03:00:00.0","2021-10-18 03:00:00.0","2021-10-25 03:00:00.0","2021-11-01 03:00:00.0","2021-11-08 03:00:00.0","2021-11-15 03:00:00.0","2021-11-22 03:00:00.0","2021-11-29 03:00:00.0","2021-12-06 03:00:00.0","2021-12-13 03:00:00.0","2021-12-20 03:00:00.0","2021-12-27 03:00:00.0","2022-01-03 03:00:00.0","2022-01-10 03:00:00.0","2022-01-17 03:00:00.0","2022-01-24 03:00:00.0","2022-01-31 03:00:00.0","2022-02-07 03:00:00.0","2022-02-14 03:00:00.0","2022-02-21 03:00:00.0","2022-02-28 03:00:00.0","2022-03-07 03:00:00.0","2022-03-14 03:00:00.0","2022-03-21 03:00:00.0","2022-03-28 03:00:00.0","2022-04-04 04:00:00.0","2022-04-11 04:00:00.0","2022-04-18 04:00:00.0","2022-04-25 04:00:00.0","2022-05-02 04:00:00.0","2022-05-09 04:00:00.0","2022-05-16 04:00:00.0","2022-05-23 04:00:00.0","2022-05-30 04:00:00.0","2022-06-06 04:00:00.0","2022-06-13 04:00:00.0","2022-06-20 04:00:00.0","2022-06-27 04:00:00.0","2022-07-04 04:00:00.0","2022-07-11 04:00:00.0","2022-07-18 04:00:00.0","2022-07-25 04:00:00.0","2022-08-01 04:00:00.0","2022-08-08 04:00:00.0","2022-08-15 04:00:00.0","2022-08-22 04:00:00.0","2022-08-29 04:00:00.0","2022-09-05 03:00:00.0","2022-09-12 03:00:00.0","2022-09-19 03:00:00.0","2022-09-26 03:00:00.0","2022-10-03 03:00:00.0","2022-10-10 03:00:00.0","2022-10-17 03:00:00.0","2022-10-24 03:00:00.0","2022-10-31 03:00:00.0","2022-11-07 03:00:00.0","2022-11-14 03:00:00.0","2022-11-21 03:00:00.0","2022-11-28 03:00:00.0","2022-12-05 03:00:00.0","2022-12-12 03:00:00.0","2022-12-19 03:00:00.0","2022-12-26 03:00:00.0","2023-01-02 03:00:00.0","2023-01-09 03:00:00.0","2023-01-16 03:00:00.0","2023-01-23 03:00:00.0","2023-01-30 03:00:00.0","2023-02-06 03:00:00.0","2023-02-13 03:00:00.0","2023-02-20 03:00:00.0","2023-02-27 03:00:00.0","2023-03-06 03:00:00.0","2023-03-13 03:00:00.0","2023-03-20 03:00:00.0","2023-03-27 03:00:00.0"
"Xenofobia",137,403,585,841,879,568,835,1290,778,352,1313,389,336,446,711,733,680,546,484,396,457,820,633,557,1212,386,374,335,216,383,429,380,295,645,362,484,609,390,526,904,442,239,286,256,286,259,381,404,508,250,283,340,328,239,331,402,388,340,363,365,489,280,222,290,268,262,818,405,473,241,1041,427,290,244,308,258,239,249,210,190,179,142,256,252,364,182,202,206,235,232,215,315,191,446,286,316,523,331,273,378,288,709,520,476,470,460,791,1798,930,480,403,335,276,596,275,315,735,138
