Pais;Variable;Fecha ;Dato
Colombia;Mujer Migrante;00:00.0;159
Colombia;Mujer Migrante;00:00.0;133
Colombia;Mujer Migrante;00:00.0;176
Colombia;Mujer Migrante;00:00.0;166
Colombia;Mujer Migrante;00:00.0;174
Colombia;Mujer Migrante;00:00.0;173
Colombia;Mujer Migrante;00:00.0;203
Colombia;Mujer Migrante;00:00.0;236
Colombia;Mujer Migrante;00:00.0;168
Colombia;Mujer Migrante;00:00.0;282
Colombia;Mujer Migrante;00:00.0;192
Colombia;Mujer Migrante;00:00.0;257
Colombia;Mujer Migrante;00:00.0;175
Colombia;Mujer Migrante;00:00.0;186
Colombia;Mujer Migrante;00:00.0;118
Colombia;Mujer Migrante;00:00.0;163
Colombia;Mujer Migrante;00:00.0;199
Colombia;Mujer Migrante;00:00.0;219
Colombia;Mujer Migrante;00:00.0;208
Colombia;Mujer Migrante;00:00.0;229
Colombia;Mujer Migrante;00:00.0;316
Colombia;Mujer Migrante;00:00.0;284
Colombia;Mujer Migrante;00:00.0;203
Colombia;Mujer Migrante;00:00.0;246
Colombia;Mujer Migrante;00:00.0;235
Colombia;Mujer Migrante;00:00.0;151
Colombia;Mujer Migrante;00:00.0;148
Colombia;Mujer Migrante;00:00.0;164
Colombia;Mujer Migrante;00:00.0;176
Colombia;Mujer Migrante;00:00.0;175
Colombia;Mujer Migrante;00:00.0;168
Colombia;Mujer Migrante;00:00.0;176
Colombia;Mujer Migrante;00:00.0;172
Colombia;Mujer Migrante;00:00.0;158
Colombia;Mujer Migrante;00:00.0;173
Colombia;Mujer Migrante;00:00.0;218
Colombia;Mujer Migrante;00:00.0;164
Colombia;Mujer Migrante;00:00.0;220
Colombia;Mujer Migrante;00:00.0;195
Colombia;Mujer Migrante;00:00.0;199
Colombia;Mujer Migrante;00:00.0;176
Colombia;Mujer Migrante;00:00.0;191
Colombia;Mujer Migrante;00:00.0;167
Colombia;Mujer Migrante;00:00.0;198
Colombia;Mujer Migrante;00:00.0;240
Colombia;Mujer Migrante;00:00.0;193
Colombia;Mujer Migrante;00:00.0;288
Colombia;Mujer Migrante;00:00.0;284
Colombia;Mujer Migrante;00:00.0;185
Colombia;Mujer Migrante;00:00.0;165
Colombia;Mujer Migrante;00:00.0;210
Ecuador;Mujer Migrante;00:00.0;29
Ecuador;Mujer Migrante;00:00.0;22
Ecuador;Mujer Migrante;00:00.0;31
Ecuador;Mujer Migrante;00:00.0;20
Ecuador;Mujer Migrante;00:00.0;24
Ecuador;Mujer Migrante;00:00.0;20
Ecuador;Mujer Migrante;00:00.0;20
Ecuador;Mujer Migrante;00:00.0;39
Ecuador;Mujer Migrante;00:00.0;14
Ecuador;Mujer Migrante;00:00.0;40
Ecuador;Mujer Migrante;00:00.0;35
Ecuador;Mujer Migrante;00:00.0;22
Ecuador;Mujer Migrante;00:00.0;19
Ecuador;Mujer Migrante;00:00.0;23
Ecuador;Mujer Migrante;00:00.0;23
Ecuador;Mujer Migrante;00:00.0;31
Ecuador;Mujer Migrante;00:00.0;25
Ecuador;Mujer Migrante;00:00.0;31
Ecuador;Mujer Migrante;00:00.0;21
Ecuador;Mujer Migrante;00:00.0;26
Ecuador;Mujer Migrante;00:00.0;25
Ecuador;Mujer Migrante;00:00.0;44
Ecuador;Mujer Migrante;00:00.0;37
Ecuador;Mujer Migrante;00:00.0;40
Ecuador;Mujer Migrante;00:00.0;42
Ecuador;Mujer Migrante;00:00.0;15
Ecuador;Mujer Migrante;00:00.0;23
Ecuador;Mujer Migrante;00:00.0;22
Ecuador;Mujer Migrante;00:00.0;17
Ecuador;Mujer Migrante;00:00.0;34
Ecuador;Mujer Migrante;00:00.0;23
Ecuador;Mujer Migrante;00:00.0;32
Ecuador;Mujer Migrante;00:00.0;13
Ecuador;Mujer Migrante;00:00.0;17
Ecuador;Mujer Migrante;00:00.0;21
Ecuador;Mujer Migrante;00:00.0;30
Ecuador;Mujer Migrante;00:00.0;17
Ecuador;Mujer Migrante;00:00.0;30
Ecuador;Mujer Migrante;00:00.0;18
Ecuador;Mujer Migrante;00:00.0;25
Ecuador;Mujer Migrante;00:00.0;31
Ecuador;Mujer Migrante;00:00.0;29
Ecuador;Mujer Migrante;00:00.0;40
Ecuador;Mujer Migrante;00:00.0;24
Ecuador;Mujer Migrante;00:00.0;19
Ecuador;Mujer Migrante;00:00.0;25
Ecuador;Mujer Migrante;00:00.0;43
Ecuador;Mujer Migrante;00:00.0;51
Ecuador;Mujer Migrante;00:00.0;33
Ecuador;Mujer Migrante;00:00.0;45
Ecuador;Mujer Migrante;00:00.0;25
Peru;Mujer Migrante;00:00.0;52
Peru;Mujer Migrante;00:00.0;57
Peru;Mujer Migrante;00:00.0;75
Peru;Mujer Migrante;00:00.0;54
Peru;Mujer Migrante;00:00.0;61
Peru;Mujer Migrante;00:00.0;81
Peru;Mujer Migrante;00:00.0;80
Peru;Mujer Migrante;00:00.0;118
Peru;Mujer Migrante;00:00.0;81
Peru;Mujer Migrante;00:00.0;110
Peru;Mujer Migrante;00:00.0;75
Peru;Mujer Migrante;00:00.0;79
Peru;Mujer Migrante;00:00.0;91
Peru;Mujer Migrante;00:00.0;90
Peru;Mujer Migrante;00:00.0;70
Peru;Mujer Migrante;00:00.0;94
Peru;Mujer Migrante;00:00.0;88
Peru;Mujer Migrante;00:00.0;70
Peru;Mujer Migrante;00:00.0;87
Peru;Mujer Migrante;00:00.0;90
Peru;Mujer Migrante;00:00.0;98
Peru;Mujer Migrante;00:00.0;70
Peru;Mujer Migrante;00:00.0;51
Peru;Mujer Migrante;00:00.0;57
Peru;Mujer Migrante;00:00.0;57
Peru;Mujer Migrante;00:00.0;50
Peru;Mujer Migrante;00:00.0;55
Peru;Mujer Migrante;00:00.0;105
Peru;Mujer Migrante;00:00.0;43
Peru;Mujer Migrante;00:00.0;57
Peru;Mujer Migrante;00:00.0;68
Peru;Mujer Migrante;00:00.0;71
Peru;Mujer Migrante;00:00.0;44
Peru;Mujer Migrante;00:00.0;74
Peru;Mujer Migrante;00:00.0;60
Peru;Mujer Migrante;00:00.0;51
Peru;Mujer Migrante;00:00.0;43
Peru;Mujer Migrante;00:00.0;51
Peru;Mujer Migrante;00:00.0;50
Peru;Mujer Migrante;00:00.0;71
Peru;Mujer Migrante;00:00.0;81
Peru;Mujer Migrante;00:00.0;64
Peru;Mujer Migrante;00:00.0;73
Peru;Mujer Migrante;00:00.0;46
Peru;Mujer Migrante;00:00.0;72
Peru;Mujer Migrante;00:00.0;102
Peru;Mujer Migrante;00:00.0;104
Peru;Mujer Migrante;00:00.0;90
Peru;Mujer Migrante;00:00.0;94
Peru;Mujer Migrante;00:00.0;87
Peru;Mujer Migrante;00:00.0;75
