"Chart Data Export",
"Dimension 1","time"
"Dimension 2","categories"
"Aggregate","volume"
"Start Date","Wed Jan 01 05:00:00 UTC 2020"
"End Date","Thu Mar 30 05:00:00 UTC 2023"
"Project Id","1998268711"
"Query Id","[2001085587]"

"time","2020-01-01 05:00:00.0","2020-02-01 05:00:00.0","2020-03-01 05:00:00.0","2020-04-01 05:00:00.0","2020-05-01 05:00:00.0","2020-06-01 05:00:00.0","2020-07-01 05:00:00.0","2020-08-01 05:00:00.0","2020-09-01 05:00:00.0","2020-10-01 05:00:00.0","2020-11-01 05:00:00.0","2020-12-01 05:00:00.0","2021-01-01 05:00:00.0","2021-02-01 05:00:00.0","2021-03-01 05:00:00.0","2021-04-01 05:00:00.0","2021-05-01 05:00:00.0","2021-06-01 05:00:00.0","2021-07-01 05:00:00.0","2021-08-01 05:00:00.0","2021-09-01 05:00:00.0","2021-10-01 05:00:00.0","2021-11-01 05:00:00.0","2021-12-01 05:00:00.0","2022-01-01 05:00:00.0","2022-02-01 05:00:00.0","2022-03-01 05:00:00.0","2022-04-01 05:00:00.0","2022-05-01 05:00:00.0","2022-06-01 05:00:00.0","2022-07-01 05:00:00.0","2022-08-01 05:00:00.0","2022-09-01 05:00:00.0","2022-10-01 05:00:00.0","2022-11-01 05:00:00.0","2022-12-01 05:00:00.0","2023-01-01 05:00:00.0","2023-02-01 05:00:00.0","2023-03-01 05:00:00.0"
"Integración",6157,4097,7512,13716,3918,3247,3185,2372,2076,10296,6192,3664,1819,11722,14250,3265,3915,3654,2154,7597,3624,3075,1823,2195,2089,4085,4169,2975,3871,3381,1736,2351,3692,3824,2876,1837,1714,1688,2277
