"Chart Data Export",
"Dimension 1","time"
"Dimension 2","categories"
"Aggregate","volume"
"Start Date","Fri Jan 01 05:00:00 UTC 2021"
"End Date","Thu Mar 30 05:00:00 UTC 2023"
"Project Id","1998317449"
"Query Id","[2001085564]"

"time","2020-12-28 05:00:00.0","2021-01-04 05:00:00.0","2021-01-11 05:00:00.0","2021-01-18 05:00:00.0","2021-01-25 05:00:00.0","2021-02-01 05:00:00.0","2021-02-08 05:00:00.0","2021-02-15 05:00:00.0","2021-02-22 05:00:00.0","2021-03-01 05:00:00.0","2021-03-08 05:00:00.0","2021-03-15 05:00:00.0","2021-03-22 05:00:00.0","2021-03-29 05:00:00.0","2021-04-05 05:00:00.0","2021-04-12 05:00:00.0","2021-04-19 05:00:00.0","2021-04-26 05:00:00.0","2021-05-03 05:00:00.0","2021-05-10 05:00:00.0","2021-05-17 05:00:00.0","2021-05-24 05:00:00.0","2021-05-31 05:00:00.0","2021-06-07 05:00:00.0","2021-06-14 05:00:00.0","2021-06-21 05:00:00.0","2021-06-28 05:00:00.0","2021-07-05 05:00:00.0","2021-07-12 05:00:00.0","2021-07-19 05:00:00.0","2021-07-26 05:00:00.0","2021-08-02 05:00:00.0","2021-08-09 05:00:00.0","2021-08-16 05:00:00.0","2021-08-23 05:00:00.0","2021-08-30 05:00:00.0","2021-09-06 05:00:00.0","2021-09-13 05:00:00.0","2021-09-20 05:00:00.0","2021-09-27 05:00:00.0","2021-10-04 05:00:00.0","2021-10-11 05:00:00.0","2021-10-18 05:00:00.0","2021-10-25 05:00:00.0","2021-11-01 05:00:00.0","2021-11-08 05:00:00.0","2021-11-15 05:00:00.0","2021-11-22 05:00:00.0","2021-11-29 05:00:00.0","2021-12-06 05:00:00.0","2021-12-13 05:00:00.0","2021-12-20 05:00:00.0","2021-12-27 05:00:00.0","2022-01-03 05:00:00.0","2022-01-10 05:00:00.0","2022-01-17 05:00:00.0","2022-01-24 05:00:00.0","2022-01-31 05:00:00.0","2022-02-07 05:00:00.0","2022-02-14 05:00:00.0","2022-02-21 05:00:00.0","2022-02-28 05:00:00.0","2022-03-07 05:00:00.0","2022-03-14 05:00:00.0","2022-03-21 05:00:00.0","2022-03-28 05:00:00.0","2022-04-04 05:00:00.0","2022-04-11 05:00:00.0","2022-04-18 05:00:00.0","2022-04-25 05:00:00.0","2022-05-02 05:00:00.0","2022-05-09 05:00:00.0","2022-05-16 05:00:00.0","2022-05-23 05:00:00.0","2022-05-30 05:00:00.0","2022-06-06 05:00:00.0","2022-06-13 05:00:00.0","2022-06-20 05:00:00.0","2022-06-27 05:00:00.0","2022-07-04 05:00:00.0","2022-07-11 05:00:00.0","2022-07-18 05:00:00.0","2022-07-25 05:00:00.0","2022-08-01 05:00:00.0","2022-08-08 05:00:00.0","2022-08-15 05:00:00.0","2022-08-22 05:00:00.0","2022-08-29 05:00:00.0","2022-09-05 05:00:00.0","2022-09-12 05:00:00.0","2022-09-19 05:00:00.0","2022-09-26 05:00:00.0","2022-10-03 05:00:00.0","2022-10-10 05:00:00.0","2022-10-17 05:00:00.0","2022-10-24 05:00:00.0","2022-10-31 05:00:00.0","2022-11-07 05:00:00.0","2022-11-14 05:00:00.0","2022-11-21 05:00:00.0","2022-11-28 05:00:00.0","2022-12-05 05:00:00.0","2022-12-12 05:00:00.0","2022-12-19 05:00:00.0","2022-12-26 05:00:00.0","2023-01-02 05:00:00.0","2023-01-09 05:00:00.0","2023-01-16 05:00:00.0","2023-01-23 05:00:00.0","2023-01-30 05:00:00.0","2023-02-06 05:00:00.0","2023-02-13 05:00:00.0","2023-02-20 05:00:00.0","2023-02-27 05:00:00.0","2023-03-06 05:00:00.0","2023-03-13 05:00:00.0","2023-03-20 05:00:00.0","2023-03-27 05:00:00.0"
"Integración",19,112,186,189,193,418,387,1267,177,172,182,143,198,1751,272,150,219,514,217,84,174,174,155,190,257,107,84,150,76,46,149,138,120,322,152,136,224,59,151,175,224,276,290,71,56,84,88,111,80,61,83,67,51,50,85,65,95,71,149,88,85,137,83,48,73,74,47,48,160,39,67,49,62,95,561,116,242,222,121,66,45,39,73,165,161,99,81,52,56,0,2,219,153,282,99,104,64,97,204,57,58,106,84,64,98,70,96,90,108,84,94,80,99,170,184,139,136,165
