"Chart Data Export",
"Dimension 1","time"
"Dimension 2","categories"
"Aggregate","volume"
"Start Date","Fri Jan 01 03:00:00 UTC 2021"
"End Date","Thu Mar 30 03:00:00 UTC 2023"
"Project Id","1998309817"
"Query Id","[2001085571]"

"time","2020-12-28 03:00:00.0","2021-01-04 03:00:00.0","2021-01-11 03:00:00.0","2021-01-18 03:00:00.0","2021-01-25 03:00:00.0","2021-02-01 03:00:00.0","2021-02-08 03:00:00.0","2021-02-15 03:00:00.0","2021-02-22 03:00:00.0","2021-03-01 03:00:00.0","2021-03-08 03:00:00.0","2021-03-15 03:00:00.0","2021-03-22 03:00:00.0","2021-03-29 03:00:00.0","2021-04-05 04:00:00.0","2021-04-12 04:00:00.0","2021-04-19 04:00:00.0","2021-04-26 04:00:00.0","2021-05-03 04:00:00.0","2021-05-10 04:00:00.0","2021-05-17 04:00:00.0","2021-05-24 04:00:00.0","2021-05-31 04:00:00.0","2021-06-07 04:00:00.0","2021-06-14 04:00:00.0","2021-06-21 04:00:00.0","2021-06-28 04:00:00.0","2021-07-05 04:00:00.0","2021-07-12 04:00:00.0","2021-07-19 04:00:00.0","2021-07-26 04:00:00.0","2021-08-02 04:00:00.0","2021-08-09 04:00:00.0","2021-08-16 04:00:00.0","2021-08-23 04:00:00.0","2021-08-30 04:00:00.0","2021-09-06 03:00:00.0","2021-09-13 03:00:00.0","2021-09-20 03:00:00.0","2021-09-27 03:00:00.0","2021-10-04 03:00:00.0","2021-10-11 03:00:00.0","2021-10-18 03:00:00.0","2021-10-25 03:00:00.0","2021-11-01 03:00:00.0","2021-11-08 03:00:00.0","2021-11-15 03:00:00.0","2021-11-22 03:00:00.0","2021-11-29 03:00:00.0","2021-12-06 03:00:00.0","2021-12-13 03:00:00.0","2021-12-20 03:00:00.0","2021-12-27 03:00:00.0","2022-01-03 03:00:00.0","2022-01-10 03:00:00.0","2022-01-17 03:00:00.0","2022-01-24 03:00:00.0","2022-01-31 03:00:00.0","2022-02-07 03:00:00.0","2022-02-14 03:00:00.0","2022-02-21 03:00:00.0","2022-02-28 03:00:00.0","2022-03-07 03:00:00.0","2022-03-14 03:00:00.0","2022-03-21 03:00:00.0","2022-03-28 03:00:00.0","2022-04-04 04:00:00.0","2022-04-11 04:00:00.0","2022-04-18 04:00:00.0","2022-04-25 04:00:00.0","2022-05-02 04:00:00.0","2022-05-09 04:00:00.0","2022-05-16 04:00:00.0","2022-05-23 04:00:00.0","2022-05-30 04:00:00.0","2022-06-06 04:00:00.0","2022-06-13 04:00:00.0","2022-06-20 04:00:00.0","2022-06-27 04:00:00.0","2022-07-04 04:00:00.0","2022-07-11 04:00:00.0","2022-07-18 04:00:00.0","2022-07-25 04:00:00.0","2022-08-01 04:00:00.0","2022-08-08 04:00:00.0","2022-08-15 04:00:00.0","2022-08-22 04:00:00.0","2022-08-29 04:00:00.0","2022-09-05 03:00:00.0","2022-09-12 03:00:00.0","2022-09-19 03:00:00.0","2022-09-26 03:00:00.0","2022-10-03 03:00:00.0","2022-10-10 03:00:00.0","2022-10-17 03:00:00.0","2022-10-24 03:00:00.0","2022-10-31 03:00:00.0","2022-11-07 03:00:00.0","2022-11-14 03:00:00.0","2022-11-21 03:00:00.0","2022-11-28 03:00:00.0","2022-12-05 03:00:00.0","2022-12-12 03:00:00.0","2022-12-19 03:00:00.0","2022-12-26 03:00:00.0","2023-01-02 03:00:00.0","2023-01-09 03:00:00.0","2023-01-16 03:00:00.0","2023-01-23 03:00:00.0","2023-01-30 03:00:00.0","2023-02-06 03:00:00.0","2023-02-13 03:00:00.0","2023-02-20 03:00:00.0","2023-02-27 03:00:00.0","2023-03-06 03:00:00.0","2023-03-13 03:00:00.0","2023-03-20 03:00:00.0","2023-03-27 03:00:00.0"
"Integración",66,277,307,956,944,411,1854,3204,959,349,968,304,463,578,398,720,342,1133,635,276,892,1295,1296,926,511,233,227,250,187,187,338,233,324,329,330,477,327,300,371,212,234,339,330,193,171,177,243,204,284,202,317,1012,200,178,156,389,162,343,515,208,500,294,157,1102,147,173,273,384,189,196,2296,436,275,231,183,195,214,194,192,169,200,149,471,245,533,177,157,174,193,233,248,481,254,301,281,262,325,206,245,195,228,231,272,223,225,210,323,288,591,307,272,334,296,584,333,439,478,212
